0,1,2,3
ESDEL COMERCIO DE PRODUTOS ALIMENTARES (BRAZIL),Campina Grande do Sul,+55 (46)3224-1293,
MN PRÃPOLIS,Mogi das Cruzes,+55 (11) 4790-4600,Mr. Jeferson Umezaki
JET BRASIL ALIMENTOS LTDA (BRAZIL),Ilheus,+55(73) 98834-0214,
KOREA FOOD INDUSTRY ASSOCIATION,Seoul,+822-3470-8128,Mr. Hin-Kyu Yeo
APEX-BRASIL,BrasÃ­lia,+55(61)3426-02020,Mrs.Raquel Vilharva
APS EXPORTAÃÃO E IMPORTAÃÃO,AnÃ¡polis,+55 (62) 3701-1561,Mr. Guilherme Oliveira/Mr. Igor Giovanni
DASSOLER AGRONEGÃCIOS,Lucas do Rio Verde,+55(65) 3548-4800,Mrs. Caroline Dassoler
ESDEL COMÃRCIO DE PRODUTOS ALIMENTARES,Campina Grande do Sul,+55 (46)3224-1293,Mr. Luciano Petroski
NORB INDÃSTRIA DE INJETADOS PLÃSTICOS,Caxias do Sul,+55(54) 3224-6090,Ms. Keillla Garcia
Seara MENA,Dubai,,Mr. Marcos Delorenzo
A. P. MÃ¸ller - MÃ¦rsk A/S,Copenhagen K,+45 33 63 33 63,
AAK Denmark,Aarhus C,+45 8730 6000,
Aasted Aps,Farum,+45 4434 8000,
Carlsberg Group,Copenhagen V,+45 3327 3300,
Chr. Hansen,Hoersholm,+45 4574 7474,
EKF - Denmarks Export Credit Agency,Copenhagen,+45 3546 2600,
ESS-FOOD,Aalborg,+45 89 19 28 47,
European Protein A/S,Baekke,+45 7538 8040,
Food Nation,Copenhagen V,+45 24914050,
GEA Process Engineering A/S,Soeborg,+45 3954 5454,
Indian Danish Chamber of Commerce,Copenhagen K,+45 31688841,
Investment Fund for Developing Countries (IFU),Copenhagen K,+45 33 63 75 00,
Mille Food A/S,Hundested,+45 32121888,
Novozymes A/S,BagsvÃ¦rd,+45 4446000,
Orana A/S,Rynkeby,+45 63623575,
"Roskilde University, Dep. of Social Sciences and Business",Roskilde,+91 9971170824,
Viking Genetics,Randers SO,+45 8795 9400,
Vilofoss,Graasten,+45 3368 5600,
UNIVERSITA' DELL'INSUBRIA,Varese,800 011 398,
UNIVERSITA' DI PARMA,,39 0521902111,
AOKIHAMONO(HASEGAWA CORPORATION),Sakai,+81-072-229-3737,Takahiro Aoki
Chiyonosono Sake Brewery Inc,Yamaga City,+81-968-43-2161,Masaharu Honda
CURETEX CORP.,Tokyo,+81-3-5706-8611,Shivinder SINGH
"Euclid Agency Co., Ltd",Shibuya,81-3-5793-7571,
"ENDO SEIAN CO., LTD",Toshima-ku,042-391-6215,
Fukushima Prefecture Government,Fukushima,81-247-61-6341,
HASEGAWA CORPORATION,Yachiyo,+81-47-484-7141,Toshikazu Hasegawa
"High Spec Co., Ltd. (Moeshoku Project)",Shizuoka,81-55-977-5758,
House Foods Group Inc,Shibuya,81-3-5211-6032,
"Ice Battery Co., Ltd.",Tokyo,+81 3 3287 7327,Hiroshi Hino
ISE FOODS.INC.,Yurakucho,03-6758-6923,Kazuhiko KAWAKAMI
"J Dining Co., Ltd.",Tokyo,81-3-5434-1301,
"Kinjirushi Sales Co., Ltd.",Chuo-ku,+81-3-3523-4703,Kenshi Setoguchi
"MARINFOOD CO.,LTD.",Toyonaka-shi,+81-3-3453-1023,AKIKO NIHEI
"MT-Torimatsu Co., Ltd.",Tsubame-shi,0256-63-2184,Shintaro Takayama
SAKATA SEED CORPORATION,YOKOHAMA,(+81)(0)45-945-8822,DR. JAI SINGH
"Shinmei Co., Ltd",Tokyo,81-3-3831-3921,Khaikholun
Japan Expo,Shinbashi,81-3-5733-5068,
Japan India Industry Promotion Association,Shinbashi,81-3-5733-5068,
"Nissan Steel Manufacturing Co., Ltd.",Kyoto,03-5733-5068,
Shizuoka Prefecture Government,Shizuoka,81-46-822-9666,
"Yamamoto Foods Co., Ltd.",Tokyo,03-5733-5068,
Yokosuka City Government,Yokosuka,81-46-822-9666,info@npo-jiipa.org
"""PÄrnes L"" SIA",,37128662862,Kristaps RadziÅÅ¡
Amber Coast Union (Latvia) / Amrita Water LLC (a branch in USA),Riga,00-371-22384118,Egija Gailuma
JAUNPILS PIENOTAVA JSC,Jaunpils parish,37163107102,Ingrida Vaska
"JSC ""Brivais Vilnis""",Salacgriva,+371 6 4000210,Mr. Janis Savics
LÄÄi SIA,,37126596747,Sergels Avsejenko
Northen Treats SIA,Riga,37128682340,Oskars Mickevics
Nuteko SIA,Riga,37120616118,Egmonts Upmalis
Dukla Brewery,DUKLA,48692483914,"MAREK ZAJDEL, BEATA ZAJDEL"
EWA BIS,WARSAW,0048 22 343 98 00,ADRIANA RUDNICKA
GLOBAL BUSINESS PROMOTION GROUP,WARSAW,0048 22 630 60 80,AGNIESZKA TOMASZEWICZ
INSTYTUT MASZYN SPOÅ»YWCZYCH SP. Z O.O.,WARSZAWA,22 619 20 98,STANISLAW PARAFINIUK
"JASIOLKA MEAT COMPANY ,,JKââ Co.Ltd.",LUBLIN,48516133035,PAWEÅ KRAJMAS
Lublin Wholesale Market,ElizÃ³wka,48666239502,Paulina Derkus-Dobies
PARAFINIUK Sp. z o.o. Group of Fruit and Vegetable Producers,21 - 533 ROSSOSZ,606270606,MARCIN PARAFINIUK
Polish Investment and Trade Agency,Warsaw,48223349800,Aleksandra Sobczak
SpÃ³Ådzielnia Mleczarska Mlekovita,Wysokie Mazowieckie,48862758211,Agata WiÅniewska
POLMASS S.A.,BYDGOSZCZ,48523750410,AGNIESZKA LITWIC-WOJCIECHOWSKA
Saran Enterprises Ltd.,Warsaw,48603862036,
HSS INTERNATIONAL,Warszawa,.+48-787-175-272,Robert KUJAWSKI
JANMAR COMPANY Co.Ltd.,DUKLA,48516133035,JAN KRAJMAS
GRANICZNA COMPANY,DUKLA,48692483914,"MAREK ZAJDEL, BEATA ZAJDEL"
"""Sirogojno Company"" d.o.o.",Sirogojno,+38131825015,Ana LjubojeviÄ
AGRANELA D.O.O.,Valjevo,00381 11 3973 599,Mr Aleksandar Tomic
ALLBERRIES DOO,Ivanjica,38169770523,Goran Bogdanovic
Chamber of Commerce and Industry of Serbia,Belgrade,,Jovanka Calina
Elixir Food d.o.o.,Å abac,+381 15 368 100,Tereza ObradoviÄ
ITN GROUP,"Zemun, Belgrade",t:+381314414900,Mirjana Nikolic
Koncern Bambi AD PoÅ¾arevac,PoÅ¾arevac,+381 12 53 98 00,Jovica Bauk
LUÄIÄ-PRIGREVICA A.D. NOVI SAD,Novi Sad,+381255434501,Ivana LukiÄ
"Maize Research Institute ""Zemun Polje""",Belgrade-Zemun,+381113756704,dr SlaÄana Å½iliÄ
MIRAX AGRAR DOO,Belgrade,381 64 104 2305,Nikola Ralic
YUMIS,Nis,+381 18 56 14 21,Zarko Martinovic
âAitâ COMPONOSOLLERTIA S.A.L.,TUDELA,0034 948 84 74 48,
"EZQUERRA GROUP (TALLERES EZQUERRA SEAMERS, SL)",SAN ADRIAN,0091 98100 27091,
CONGELADOS DE NAVARRA S.A.U,FUSTIÃANA,0034 627516608,
"EXKAL (ExposiciÃ³n y ConservaciÃ³n de Alimentos, S.A.)",Marcilla,0034 948 708 292,
Grupo K Refrigeracion S.L.,Pamplona,0034 666 40 09 71,
"IAN - INDUSTRIAS ALIMENTARIAS DE NAVARRA, S.A.U.",VILLAFRANCA,0034607559544,
MERCASA,Madrid,0034 91 350 06 09,Nora Rodriguez
Navarra Government,Pamplona,0034 848425765,Estela CerdÃ¡n
"Ultracongelados Virto, S.A. (VIRTO GROUP)",Azagra,0034 948 692 728,
URZANTE,Tudela,0034 948 850 237,J.A Lorenzo
"VISCOFAN, S.A.",Tajonar,0034 948 198 444,
Fadak Pistachio Co,Kerman,0098 -34- 32756622,Mary asil
GREEN GOLD JAHANGIRI,RAFSANJAN,3434268589,ABBAS EFAZATI
Saramad Kavir Kerman Commercial Co.,Sirjan,00983442334324,Mohammad Mir Zaheri
TAROKH PISTACHIO COMPANY,SIRJAN,42231064,RAHIM KHORASANI ESMAEILI
YUG RUSI,Rostov on Don,Anna Kozhanova,contact@grain.ru
"PT. Indofood CBP Sukses Makmur Tbk.,",Jakarta,+62-21-57958822,hendry.ang@indofood.co.id
"KAGOME.CO.,LTD.",Tokyo,+81-3-5623-8501,Koichi Fukawa
Al Ghurair Foods,Dubai,04 3939633,Marwa Hassan
BRAZIL,Brasilia,+55 61 3426-0202,Mrs. Raquel Vilharva
DAI/RADP-North (Afganishtan),Mazar,NA,Mr. Sayed Qasimullah
DUBAI EXPORTS,Dubai,+971 444 55333,Mr. Omar Alghfeli
FEDERAL MINISTRY OF FOOD AND AGRICULTURE - GERMANY,Berlin,+49 (0)30 18 529 - 4185,Mr. Christian Schmidt
FITOREX LTD.,Budapest,+36-1-453-0564,Ms. Julia Szilbereky
GULF CONFECTIONERY & BISCUIT CO LLC,DUBAI,+97143315064,MR. HUSSAINI DAIRKEE
ICWRF,Roma,0039 06.46651,Bartolomeo Filadelfia
Italian Ministry of Economic Development,ROMA,0039 06 47051,Alessandra Schiavo
KAGOME CO. LTD. (Japan),Tokyo,+81-3-5623-8501,Mr. Koichi Fukawa
LATVIA,Riga,+371 37039400,Ms. Inga Valdmane
MASAFI CO. LLC,Dubai,NA,Ms. Swati Ramkumar
Mix Srl,Cavezzo,0039 0535 46577,Matteo gatti
MOOD ESPRESSO,DUBAI,04 3926265,Paolo Osimi
Movin Spa,S.Quirino,0039 434.9155,
MUNCH & CRUNCH SWEETS MANUFACTURING,"AL QUASAIS-2, HALAB STREET DUBAI UAE",+97142585600,MARIAM AL SHAMSI
NETHERLANDS - FOCUS COUNTRY,New Delhi,011 24197605,Mr. Anand Krishnan
ORGANIZZAZIONE NAZIONALE ASSAGGIATORI OLIO DI OLIVA,Roma,0039 0183 76 74 12,
PT. INDOFOOD CBP SUKSES MAKMUR TBK,Jakarta,+6221 5795 8822,Mr. Hendry
SACE,Roma,0039 06 67361,
Senzani,faenza,0039 0546 624011,
SERBIA,New Delhi,011-2687 3661,Mr. Jovanka Calina
StartupBootCamp,Roma,0039 348 4074087,
"TAIPEI WORLD TRADE CENTRE, MUMBAI",Mumbai,022-22163074-77,Ms. Harjeet Kaur
Turatti,Venice,0039 426310731,
Turboalgor,S.Quirino,0039 4349155,Antonella Lombardo
Ucima,Baggiovara,0039 059 512146,
UNIVERSITA'  DELL'INSUBRIA,Varese,800 011 398,
UNIVERSITA'  DI PARMA,,39 0521902111,
"YUGI RUSI, LLC ZOLOTAYA SEMECHKA (Russia)",Rostov-on-Don,+7(863)2107040,Ms. Anna Kozhanova
