company_name,contact_person,telephone
Hari Art Engravers,Haribhai,+91 9824003937
Haria Export Limited,Lalit J. Kothari,+91 + 91 22 61546154
Harisidh Industries,Patel Navin,+ 9725449567
Harmony Yarns,P.n. Mehta,+91 -
Hi-tech Textile,K. C. Patel,+91 -
Himson Engineering Pvt. Ltd.,Dr. A B Talele,+91 9904872759
Himson Engineering Pvt. Ltd.,Darshan Bachkaniwala,+91 9727770918
Himson Textile Engineering Ind. P. Ltd.,Jayesh Desai,+91 9824111889
Ibrahimbhai Ganibhai & Company,Shafibhai,+91 9825071399
Indo Asia Machines Pvt. Ltd.,Mahendra Rane,+91 9723450749
Indogem Shuttle Mfg. Co.,D. R. Rai,+91 -
Indrasheel Industries,Bharat Sinh Mangrola,+91 9824165118
J V Textile Industries,Kaushal Vakil,+91 9819721967
J. C. Fabrics,Bhupesh Mahadevwala,+91 9825120690
Jagjit Textile Export Fabric,Nisith Patel,+91 9375730119
Jai Tulsi Tex Prints Pvt. Ltd.,Vinod Kumar Agrawal,+91 9824650890
Jay Ambe Textile Traders,Babubhai G. / Viren Patel,+91 9825692155
Jay Tex Engineers,Sureshbhai Jayantibhai Patel,+91 9824056362
Jayco Synthetics,Bharat H. Sachdev,+91  76220 10142
Jinaam Dress Pvt. Ltd.,Vishal Hemraj Oswal,+91 9825100069
Jupiter Ceramics,-,+91 -
K K Interlinings Mfg. Co. Pvt Ltd,Kamlesh Shah,+91 09824034772
Karnavati Plastics,Narsinh B. Thakor,+91 98240 10325
Kashish Silk Mills Pvt. Ltd.,Kashish Mahajan,+91 9825600100
Kashish Silk Mills Pvt. Ltd.,Kashish Mahajan,+91 9825600100
Kci Bearings (india) Pvt. Ltd.,J. P. Shah/ H. A. Gadani,+91 9825303004
Kemit Chemicals Pvt. Ltd,Yogesh K. / Keyur Y. Desai,+91 9824548070
King Laces,Dalpatbhai,+91 7567093300
Kosmos Co.-extrusions Pvt. Ltd.,Pradeep Tibrewala,+91 -
Kothari Textile Industries,B. F. Kothari/ P. B. Kothari,+91 9825310201
Krishna Technofab Pvt. Ltd.,Ayush Bansal,+91 9374752244
Krutam Enterprises,M. B. Shroff,+91  9712974238
Krutan Techno Solutions Pvt. Ltd.,S. M. Shroff,+91 8905004230
Kuber Industries,Dilipbhai,+91 9825129352
Kush Dye Chem,Hemal Shah,+91 7926767706
L. D. Textiles / Raghav Ind. Ltd.,S.k. Jha,+91 -
Lakshmi Machine Works Limited,Radhakrishnan Radhakrishnan,+91 8144027960
Laxmi Textile Stores,Divyang A. Sanghvi/ketan B. Sanghvi,+91 9824083924
Laxmi Trading Co.,Laxman Singh,+91 9825188622
Lucy Engineering Works Pvt. Ltd.,Ajay D. Modi,+91 9879580112
M. K. Bhatia & Co.,Bunty Bhatia,+91 9825136067
M. S. Enterprises,Ganesh G. / Santosh G. Chaturvedi,+91 9913764498
Macro Chemie Polymers,Madhusudan / Pramod Rajgarhia,+91 9879563824
Madhav Industries,Gunjan Patel,+91 7802828239
Madhu Textile Mill,Dilip Sonigra,+91 9825074146
Mahamantra Fabrics (p) Ltd.,"Vikas Mandot , Bhavesh Mehta",+91 9825034363
Mahavir Textile Traders,Kamlesh Y. Shah,+91 9825130748
Majisa Machinery,Bharu Singh Rajpurohit,+91 9375975352
Manila Processors P. Ltd.,Manojbhai,+91 9825013119
Mayur Reeds & Healds Pvt. Ltd.,Mr. Vasant C Soni,+91 9426182594
Meghdoot Silk Mills Pvt. Ltd.,Himat D. Bosamia/ Pradip H. Bosamia,+91 9825006354
Microsynth Fabrics (india) Ltd.,Microsynth Fabrics,+91 2602640944
Moti Textile Processors,Sureshchandra Ramanlal Shroff,+91 9898677552
Naman Textiles,Naman Jain,+91 8470090232
Nayna Sarees,Haresh Modi / Birbal Gandhi,+91 9825124811
Neptune Industries,Ajay Mehta,+91 -
Neutron Impex Pvt. Ltd.,Mr Shantana,+91 -
New Blue Moon Enggs.,Shabir Kalavadwala /  Mustan,+91 97129110521
Newage Industries Mfg. Co.,Mahesh M. Shah,+91 9825030053
Nidhi Poly Plast,Praful K. Patel,+91 -
Nimit Engineering,Vipul R Shah,+91 9227902110
Nirav Trading Co.,Shreyansh G. Shah,+91 9998119727
Okosu Ceratech Pvt. Ltd,Managing Director,+91 9099982122
Om Precision Engineering,Sumit Luhar,+91 9824047305
Omkar Textiles,Jitendra Bhagvandas,+91 9825143757
Ompex Industries Private Limited,Raxit Sojitra,+91 8980740242
Orange Weaving Engineering Pvt. Ltd.,Jitendrakumar G. Viradia,+91 9825042423
Orient Art Spares Printers,Kanubhai Bhavsar,+91 9825042304
Ozone Pb Spintex Ltd,Dharmendra Shah,+91 9978397800
P. R. Shah,Vikrant,+91 9429094615
Parmar Industries,Prakash Parmar,+91 9825223690
Pooja Enterprises,Ushir Inamdar,+91 9687503069
Popular Engg. Works,Laxmikant C. Siddhpura,+91 9879767624
Pradeep & Mala Sinha,Pradep P. /mala Sinha,+91 -
Prakash Engineering Works,Jayesh P Jariwala,+91 9374583210
Prakash Textile Pvt. Ltd.,Prakash Bagrecha,+91 9825041641
Pramukh Textile,Bhavesh Rupareliya,+91 9727197878
R. Kumar Spuntex Pvt. Ltd.,Rajendra R.  Ahuja/ Ramkrishna K. Ahuja,+91 9825009770
R. V. Industries,Vinod Patel,+91 9426889314
Rachit Industries Pvt. Ltd.,Pramod,+91 9925046984
Radhika Silk Mills,Prakash Raiyani,+91 9825116168
Raghupati Petro Syntex,Kamleshbhai Agarwal,+91 9825015550
Raj Exports,Rakesh Kaushik,+91 9702868501
Rajesh Electricals & Electronics,Rajesh C. Desai,+91 9327202385
Rajhans Silk Mills Pvt. Ltd.,Vijaybhai Desai,+91 9824130016
Rameshwar Textile Mills (p) Ltd.,Rajesh Bansal,+91 9925115000
Ramsons Engineering Co.,Atul R. Wankawala,+91 9327391446
Rang Rachana Art,Pravin T. Vora,+91 9374725044
Ratna Textiles,Shrenik L. Shah,+91 9825218345
Rita Dyeing & Printing Mills Pvt. Ltd.,Suman Kumar R. Chitkara,+91 9825144751
Rutvi Fabrics,Dilipbhai,+91 9825382722
S. K. Weaving Pvt. Ltd.,Jashpalsigh Baveja,+91 9824140316
S. L. Banthia Textiles Industries Pvt. Ltd.,Santosh Banthia,+91 9328265676
Sagar Group Of Enterprises,Alpesh Dhabaliya,+91 9376751113
Samay Poly Pack,D. H. Patel/j. P. Patel,+91 9825256130
Samir Synthetic Mills,Samirbhai Patel,+91 9898279085
Sanghvi Sales Corporation,Jayantilal,+91 -
Sanwariya Processors Pvt. Ltd.,Ashutosh Kanodia,+91 9898821135
Satguru Impex,Ramesh Vaghasia,+91 9925246793
Savytex Silk Mills (p) Ltd.,Umangbhai,+91 9898003642
Sepson Textile Machines,Rajnikant Patel,+91 9898137805
Sgl Graphics Technology Pvt. Ltd,Rajendra Dugar,+91 98253 13003
Sgl Graphics Technology Pvt. Ltd.,Champalal Chopra,+91 9825313001
Shahlon Silk Industries Limited,Arvind R. Shah,+91 9825114362
Shaikh & Co.,Saeed M. Shaikh,+91 9824059314
Shakti Plast Corporation,Ishwar Suthar,+91 9327007103
Sheetal Polyester,-,+91 9712945745
Shilpa Dyeing & Printing Mills Pvt. Ltd.,Vinodkumar F. Agrawal,+91 9879515712
Shree Ram Synthetics,Bhupendra R Patel,+91 9825122095
Shri Dinesh Mills Ltd.,J. B. Sojitra,+91 9825629572
Shri Ratneshwari Engineering Works,Vishnubhai S. Patel,+91 9824034359
Shruti Fashions Pvt. Ltd.,Amit Tuneja,+91 9825127753
Siyaram Silk Mills Ltd.,Mr Shrikant Pandit,+91 9377001944
Skilled Machines,Kishorbhai Patel,+91 9824102737
Smew Textile Machinery Pvt. Ltd,Anandbhai,+91 8141 286304
Sneha Fashions Pvt. Ltd.,Vinay Sonthalia,+91 9374123444
Spinwell Engineers,Kishorbhai Kuvadia,+91 9825220100
Sri Shyam Fashion Group,Vaibhav Jalan,+91 9830009100
Starco Arochem Pvt. Ltd,K.k. / R.p. Gupta,+91 9898044702
Suman Silk Mills Pvt. Ltd.,Champalal S. Chopra,+91 9825313001
Sunrise Chemicals,Mukesh P. Patel / Sanjay Nayak,+91 94263 04901
Sunrise Textile,Devendrasinh Parmar,+91 9825223523
Suprabhat Prints Pvt. Ltd.,Vishnukant B. Paliwal,+91 -
Supreme India Impex Ltd.,Abhishek,+91 -
Surbhi Textile Mills Pvt. Ltd.,Ritesh Patel,+91 -
Sushma Textiles Pvt. Ltd.,Suresh/ Prashant Mehta,+91 9879513868
Susma Textile Pvt. Ltd.,Prashant Mehta,+91 -
Swastik Engineering,Gopal Dewangan,+91 9374717573
Swastik Textile Corporation,Arvind P. / Manish A. Panchal,+91 -
Taha Impex,Juzer Saifee,+91 9825161123
Tejoday Dyeing & Printing Works,Uday Mashruwala,+91 9924100794
Texfab Engineers (i) Pvt. Ltd.,Mukesh Pachauri,+91 9898042000
Textile Engineering Industries,Munjal Engineer,+91 9426115550
Texwin Industries,Siddharth S. Shah,+91 9825123923
Thakkar Exim,Nitesh Thakkar,+91 9825287634
The Sicos Limited,D.h. Tundiya,+91 9879145369
Utsav Silk Mills,Chandrakantbhai / Hemantbhai,+91 9825198797
Vijay Textile,M.j. Rajput,+91 9426301490
Vikram Engineers,Manojbhai C. Mehta,+91 9825223674
Vimtex Industries,Amitbhai,+91 9898995695
Vinal Textiles Limited,Dinesh Patel,+91 9824059304
Vinay Synthetics,Vinay Mamrawala,+91 9377878078
Vinay Synthetics,Rajesh Mamrawala,+91 9377878078
Vishwakarma Iron Works,Priyank Pithwa,+91 9925939333
Vishwakarma Steel Industries,Ramanbhai / Kalpeshbhai,+91 -
Vividh Syntex Pvt. Ltd.,Mukeshkumar C. Ranka,+91 -
World Fashion Collection,Gunjan Shah,+91 9979506100
Worldtex Speciality Chemicals,Saurabh Garg / Vijay H. Gupta,+91 9825023357
Worldtex Speciality Chemicals,Saurabh Garg / Vijay H. Gupta,+91 7926732219
Yes Fashions Pvt. Ltd.,Jawaharbhai Mohanbhai Gondalia,+91 9374555259
